DEBUG 2024-12-21 17:45:25,414 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\threading.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,414 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\request.py first seen with mtime 1732949071.2721367
DEBUG 2024-12-21 17:45:25,415 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\nturl2path.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,415 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1732948993.12985
DEBUG 2024-12-21 17:45:25,416 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\i18n.py first seen with mtime 1732948993.1911373
DEBUG 2024-12-21 17:45:25,416 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\platform.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,417 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\argparse.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,417 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1732948992.9388614
DEBUG 2024-12-21 17:45:25,417 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\urllib\response.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,418 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1732948992.3086035
DEBUG 2024-12-21 17:45:25,418 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\encodings\idna.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,419 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\authtoken\apps.py first seen with mtime 1732953754.7207828
DEBUG 2024-12-21 17:45:25,419 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\asyncio\base_subprocess.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,420 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\ctypes\util.py first seen with mtime 1728268008.0
DEBUG 2024-12-21 17:45:25,420 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1732953754.8883688
DEBUG 2024-12-21 17:45:25,420 autoreload File C:\Users\USER\AppData\Local\Programs\Python\Python313\Lib\subprocess.py first seen with mtime 1728268008.0
